4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 3 2 110
b 16 01 11
n 3 3 100
b 16 01 11
n 4 0 100
b 16 01 11
n 3 2 110
b 16 01 11
n 3 3 100
b 16 01 11
n 4 0 100
b 16 01 11
n 3 7 100
b 8 11 11
n 4 0 100
b 4 00 11
b 8 01 11
n 4 3 104
b 8 01 11
n 4 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 200
b 16 01 11
n 2 5 100
b 8 11 11
n 1 7 100
b 16 01 11
n 3 5 100
b 8 11 11
n 2 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 3 7 100
b 4 00 11
b 16 01 11
n 3 7 100
b 16 01 11
n 3 7 100
b 8 02 11
b 16 01 11
n 3 5 110
b 16 01 11
n 3 7 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 2 2 100
b 16 01 11
n 2 4 100
b 8 01 11
n 3 0 200
b 8 01 11
n 3 4 100
b 2 01 11
n 3 0 100
b 8 01 11
n 3 3 100
b 16 01 11
n 4 3 100
b 8 01 11
n 2 5 100
b 4 01 11
n 2 0 100
b 8 01 11
n 4 0 100
b 16 01 11
n 3 0 110
b 16 01 11
n 3 5 100
b 16 01 11
n 1 4 100
b 16 02 11
b 8 01 11
n 1 4 100
b 16 01 11
n 2 5 100
b 16 01 11
n 2 7 100
b 16 02 11
b 16 01 11
n 2 9 110
b 16 01 32
n 2 19 100
b 16 01 32
n 1 17 100
b 8 01 11
n 3 15 100
b 4 01 11
n 3 17 100
b 8 01 11
n 3 15 100
b 8 01 11
n 3 15 200
b 8 01 11
n 3 15 100
b 8 01 11
n 3 10 100
b 8 01 11
n 2 11 100
b 8 01 11
n 2 11 200
b 8 02 11
b 8 01 11
n 2 2 100
b 8 01 11
n 2 5 100
b 4 00 11
b 2 02 11
b 4 00 11
b 16 01 11
n 2 4 100
b 8 11 11
n 4 2 100
b 32 01 11
n 4 3 100
b 4 00 11
b 8 01 11
n 4 4 100
b 16 01 11
n 4 7 300
b 16 01 11
n 4 5 100
b 16 01 11
n 4 5 100
b 8 12 11
b 8 01 11
n 4 3 100
b 16 01 11
n 1 5 100
b 8 01 11
n 1 5 100
b 8 01 11
n 1 3 100
b 16 01 11
n 4 3 100
b 8 01 11
n 3 3 100
b 4 01 11
n 3 5 100
b 4 02 11
b 4 00 11
b 16 01 11
n 3 2 100
b 16 01 11
n 3 0 100
b 8 02 11
b 8 01 11
n 3 4 100
b
