4 5 100
b 16 01 11
n 2 5 100
b 16 02 11
b 16 01 11
n 2 3 100
b 16 02 11
b 16 01 11
n 2 3 100
b 16 02 11
b 16 01 11
n 1 3 100
b 16 01 11
n 2 5 100
b 4 02 11
b 4 01 11
n 4 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 2 100
b 16 01 11
n 3 2 100
b 4 10 11
b 2 12 10
b  6 01 11
n 2 5 110
b 16 01 11
n 2 6 100
b 16 01 11
n 3 7 100
b 16 02 11
b 16 01 11
n 4 7 100
b 8 02 11
b 16 01 11
n 3 5 100
b 16 01 11
n 1 7 100
b 16 02 11
b 4 00 11
b 16 01 11
n 4 8 100
b 16 02 11
b 16 01 11
n 4 8 100
b 16 02 11
b 16 01 11
n 4 7 100
b 16 02 11
b 4 00 11
b 16 01 11
n 4 7 100
b 16 02 11
b 8 01 11
n 4 10 100
b 16 01 11
n 4 10 100
b 16 01 11
n 4 12 100
b 16 01 11
n 2 14 100
b 16 02 11
b 16 01 11
n 2 14 104
b 16 01 11
n 1 11 100
b 16 02 11
b 16 01 11
n 1 11 100
b 16 01 11
n 2 9 100
b 16 01 11
n 2 9 100
b 16 01 11
n 1 7 110
b 16 01 11
n 1 9 100
b 8 01 11
n 3 7 100
b 8 01 11
n 3 6 100
b 8 11 11
n 3 6 200
b 16 01 11
n 4 5 100
b 2 01 11
n 3 5 110
b 4 00 11
b 2 01 11
n 4 8 100
b 16 01 11
n 4 9 204
b 16 01 11
n 3 9 100
b 16 01 11
n 3 0 100
b 4 02 11
b 16 01 11
n 3 4 100
b 8 01 11
n 4 0 100
b 8 01 11
n 4 2 100
b 16 01 11
n 2 4 100
b 16 01 11
n 2 2 100
b 16 01 11
n 2 4 100
b 8 01 11
n 3 0 100
b 16 01 11
n 3 2 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 5 100
b 16 01 11
n 4 0 100
b 8 01 11
n 4 7 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 4 5 100
b 16 01 11
n 2 5 100
b 16 01 11
n 2 5 100
b 8 11 11
n 0 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 3 4 100
b 32 02 11
b 4 02 11
b 8 01 32
n 4 3 100
b 8 01 32
n 4 3 100
b 8 01 32
n 2 5 100
b 8 01 32
n 4 5 100
b 8 01 32
n 4 5 100
b 8 01 32
n 2 7 100
b 4 00 11
b 8 01 11
n 4 0 100
b 8 01 11
n 4 0 100
b 8 01
