 8 01 11
n 4 3 100
b 8 01 11
n 4 0 300
b 8 01 11
n 2 5 100
b 8 01 11
n 4 3 100
b 4 11 11
n 4 0 100
b 16 01 11
n 3 4 110
b 8 01 11
n 3 5 100
b 16 01 11
n 2 6 100
b 8 11 11
n 4 4 100
b 16 01 11
n 2 5 100
b 8 01 11
n 4 3 100
b 4 11 11
n 4 0 100
b 16 01 11
n 3 4 110
b 8 01 11
n 3 5 100
b 16 01 11
n 2 6 100
b 8 11 11
n 4 4 100
b 16 01 11
n 2 5 100
b 8 01 11
n 4 3 100
b 4 11 11
n 4 0 100
b 16 01 11
n 3 4 110
b 8 01 11
n 3 5 100
b 16 01 11
n 2 6 100
b 8 11 11
n 4 4 100
b 16 01 11
n 2 5 100
b 8 01 11
n 4 3 100
b 4 01 11
n 4 0 100
b 1 01 11
n 4 0 200
b 8 01 11
n 3 0 100
b 4 01 11
n 3 7 100
b 8 02 11
b 8 01 11
n 3 7 100
b 8 02 11
b 8 01 11
n 2 5 100
b 4 00 11
b 8 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 8 01 32
n 1 7 100
b 8 01 32
n 3 5 100
b 8 01 32
n 1 7 100
b 8 01 32
n 3 5 100
b 8 01 32
n 1 7 100
b 8 01 32
n 3 5 100
b 8 01 32
n 1 7 100
b 4 00 11
b 8 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 8 01 11
n 2 7 100
b 8 01 11
n 1 7 100
b 8 01 11
n 1 5 100
b 8 01 11
n 1 4 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 7 100
b 8 01 11
n 2 7 100
b 16 01 11
n 2 7 100
b 16 01 11
n 2 7 200
b 16 01 11
n 2 7 100
b 8 01 11
n 2 5 100
b 16 01 11
n 2 5 100
b 2 02 11
b 16 01 11
n 4 5 100
b 8 12 11
b 16 01 11
n 2 5 100
b 16 01 11
n 2 4 100
b 16 01 11
n 2 3 100
b 16 01 11
n 2 3 200
b 16 01 11
n 4 0 100
b 16 01 11
n 3 5 100
b 16 02 11
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 8 11 11
n 4 5 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 5 100
b 4 00 11
b 16 01 11
n 4 7 100
b 16 02 11
b 16 01 11
n 2 9 100
b 16 02 11
b 16 01 11
n 4 0 300
b 16 01 11
n 2 7 100
b 16 01 11
n 2 9 100
b 16 01 11
n 2 9 100
b 8 01 11
n 2 8 100
b 16 01 
