4 5 100
b 16 01 11
n 2 5 100
b 16 02 11
b 16 01 11
n 2 5 100
b 16 02 11
b 16 01 11
n 4 0 100
b 16 01 11
n 4 5 110
b 16 01 11
n 4 0 100
b 16 01 11
n 4 3 110
b 16 01 11
n 4 0 100
b 16 01 11
n 4 2 110
b 16 01 11
n 4 0 100
b 16 01 11
n 4 3 100
b 16 02 11
b 16 01 11
n 4 3 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 16 11 11
n 4 0 100
b 16 01 11
n 4 3 100
b 8 01 11
n 4 5 100
b 16 01 11
n 2 7 100
b 8 01 11
n 4 5 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 800
b 16 01 11
n 2 2 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 2 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 2 100
b 16 01 11
n 4 0 200
b 16 01 11
n 4 0 200
b 2 01 11
n 4 0 100
b 8 02 11
b 4 02 11
b 4 01 11
n 4 0 100
b 8 02 11
b 8 11 11
n 4 0 100
b 8 01 11
n 3 4 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 4 00 11
b 16 01 11
n 3 3 100
b 16 01 11
n 3 1 100
b 4 02 11
b 4 01 11
n 3 5 100
b 16 01 11
n 4 5 110
b 16 04 11
b 16 01 11
n 3 0 200
b 16 01 11
n 3 7 100
b 8 01 11
n 3 7 100
b 16 00 11
n 3 0 300
b 16 01 11
n 1 3 100
b 16 01 11
n 3 0 300
b 16 01 11
n 1 0 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 8 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 4 00 11
b 8 01 11
n 3 6 100
b 16 01 11
n 3 4 300
b 16 01 11
n 3 7 100
b 8 01 11
n 3 10 100
b 8 01 11
n 3 10 100
b 8 01 11
n 3 10 100
b 8 01 11
n 3 10 100
b 4 00 11
b 8 01 11
n 3 10 100
b 8 01 11
n 3 10 100
b 16 01 11
n 3 10 100
b 4 00 11
b 16 01 11
n 1 12 100
n 2 10 100
b 8 01 11
n 1 12 100
n 2 10 100
b 16 01 11
n 1 12 100
n 2 10 100
b 8 01 11
n 1 10 100
n 2 12 100
b 8 01 11
n 1 16 100
b 1 01 11
n 4 10 100
b 4 00 11
b 1 01 11
n 4 17 100
b 4 00 11
b 4 01 11
n 4 0 200
b 4 01 11
n 3 12 100
b 2 01
