4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 2 2 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 2 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 2 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 200
b 16 01 11
n 4 0 300
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 300
b 16 01 11
n 1 0 300
b 16 01 11
n 4 7 100
b 8 11 11
n 3 5 100
b 8 01 11
n 3 7 100
b 8 01 11
n 3 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 3 7 100
b 8 01 11
n 3 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 3 7 100
b 8 01 11
n 3 5 100
b 8 01 11
n 3 7 100
b 8 01 11
n 3 7 100
b 8 02 11
b 4 00 11
b 2 02 11
b 4 02 11
b 8 02 11
b 8 01 11
n 4 3 100
b 8 02 11
b 8 01 11
n 4 3 100
b 8 01 11
n 4 3 100
b 8 01 11
n 4 3 200
b 8 01 11
n 3 0 100
b 1 01 11
n 4 0 100
b 1 01 11
n 3 3 100
b 4 01 11
n 3 5 100
b 2 01 11
n 3 7 100
b 2 01 11
n 3 7 200
b 2 01 11
n 3 6 100
b 8 02 11
b 16 01 11
n 3 6 100
b 16 01 11
n 3 6 200
b 16 01 11
n 4 0 100
b 16 01 11
n 3 5 100
b 16 01 11
n 4 2 104
b 16 01 11
n 4 3 100
b 16 01 11
n 3 5 100
b 16 01 11
n 4 0 100
b 16 01 11
n 3 4 100
b 16 02 11
b 16 01 11
n 3 5 100
b 16 02 11
b 16 01 11
n 3 5 100
b 16 01 11
n 4 7 100
b 8 01 11
n 4 8 100
b 16 01 11
n 4 8 100
b 16 01 11
n 4 8 100
b 16 01 11
n 2 10 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 5 100
b 16 01 11
n 4 3 100
b 8 00 11
b 16 01 11
n 2 3 110
b 16 01 11
n 2 4 100
b 8 01 11
n 4 3 100
b 16 01 11
n 4 0 300
b 16 01 11
n 4 0 100
b 16 02 11
b 16 01 11
n 4 0 100
b 16 01 11
n 4 2 100
b 16 01 11
n 4 2 100
b 4 00 11
b 16 01 11
n 4 2 100
b 16 02 11
b 8 02 11
b 16 01 11
n 4 0 300
b 16 01 11
n 2 7 100
b 16 01 11
n 2 9 100
b 16 01 11
n 2 7 200
b 16 01 11
n 2 7 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 4 100
b 16 01 11
n 2 2 100
b 1
