 1 01 11
n 4 0 100
b 4 00 11
b 4 01 11
n 4 5 100
b 8 11 11
n 4 5 100
b 16 01 11
n 4 5 100
b 16 02 11
b 8 01 11
n 4 5 100
b 8 01 11
n 2 7 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 2 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 2 100
b 16 02 11
b 16 01 11
n 4 0 100
b 16 01 11
n 4 0 100
b 4 01 11
n 4 5 100
b 8 01 11
n 4 5 100
b 8 01 11
n 4 5 100
b 8 01 11
n 4 5 100
b 16 02 11
b 16 01 11
n 4 3 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 1 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 5 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 0 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 300
b 16 01 11
n 1 0 300
b 16 01 11
n 3 3 100
b 16 01 11
n 3 5 100
b 8 02 11
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 1 7 100
b 16 01 11
n 3 5 100
b 16 01 11
n 2 7 100
b 16 01 11
n 2 0 300
b 16 02 11
b 16 01 11
n 2 7 100
b 16 02 11
b 16 01 11
n 2 7 100
b 8 12 11
b 16 01 11
n 1 5 100
b 16 02 11
b 16 01 11
n 1 0 300
b 8 01 11
n 1 7 104
b 16 01 11
n 1 0 200
b 16 01 11
n 3 0 110
b 8 01 11
n 3 3 100
b 16 01 11
n 3 5 200
b 16 01 11
n 2 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 4 0 100
b 8 01 11
n 4 3 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 5 100
b 16 01 11
n 2 5 110
b 16 01 11
n 2 7 100
b 8 01 11
n 2 5 100
b 16 01 11
n 2 5 110
b 16 01 11
n 2 7 100
b 16 01 11
n 2 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 300
b 16 01 11
n 1 0 300
b 16 01 11
n 3 0 300
b 16 01 11
n 1 3 100
b 8 01 11
n 1 3 100
b 4 00 11
b 8 01 11
n 3 3 100
b 16 01 11
n 3 0 300
b 16 01 11
n 3 0 300
b
