4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 5 100
b 16 01 11
n 4 3 110
b 8 01 11
n 4 0 100
b 4 00 11
b 4 01 11
n 4 7 100
b 16 01 11
n 4 0 300
b 8 11 11
n 4 1 100
b 8 01 11
n 4 2 100
b 4 00 11
b 16 01 11
n 4 2 100
b 16 02 11
b 8 02 11
b 4 02 11
b 4 02 11
b 4 00 11
b 8 01 11
n 1 2 100
n 2 0 100
b 4 02 11
b 8 01 11
n 1 2 100
n 2 0 100
b 8 02 11
b 4 01 11
n 1 1 100
n 2 0 100
b 4 00 11
b 16 01 11
n 3 0 100
b 16 01 11
n 3 1 100
b 16 01 11
n 3 3 100
b 2 01 11
n 3 0 100
b 8 01 11
n 3 2 100
b 8 01 11
n 3 2 100
b 4 01 11
n 3 5 100
b 16 01 11
n 3 2 100
b 16 02 11
b 16 01 11
n 3 2 100
b 16 01 11
n 3 0 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 3 110
b 16 01 11
n 4 5 100
b 4 00 11
b 8 01 11
n 4 3 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 0 110
b 16 01 11
n 2 2 100
b 16 01 11
n 4 0 100
b 16 01 11
n 4 3 100
b 16 01 11
n 4 3 100
b 16 01 11
n 3 5 100
b 8 01 11
n 2 4 100
b 16 01 11
n 2 3 100
b 16 01 11
n 2 3 100
b 8 01 11
n 4 0 100
b 16 01 11
n 4 2 100
b 16 02 11
b 16 01 11
n 4 0 100
b 8 02 11
b 16 01 11
n 4 0 100
b 8 02 11
b 2 02 11
b 4 02 11
b 8 02 11
b 8 01 11
n 4 5 100
b 8 02 11
b 2 12 11
b 8 01 11
n 4 0 100
b 16 02 11
b 16 01 11
n 4 0 100
b 16 01 11
n 3 0 110
b 16 01 11
n 3 2 100
b 16 01 11
n 3 0 200
b 16 01 11
n 4 0 100
b 8 01 11
n 4 2 100
b 16 02 11
b 16 01 11
n 4 4 100
b 16 01 11
n 4 0 200
b 16 01 11
n 4 0 300
b 8 01 11
n 4 0 100
b 16 01 11
n 4 0 300
b 16 01 11
n 4 0 300
b 8 01 11
n 3 1 100
b 8 01 11
n 4 3 100
b 4 21 11
n 4 3 107
b 8 01 11
n 4 5 100
b 8 01 11
n 4 5 100
b 4 00 11
b 8 01 11
n 3 2 100
b 4 01 11
n 3 4 100
b 16 01 11
n 3 0 100
b 16 01 11
n 4 5 100
b 16 01 11
n 2 5 100
b 8 01
