 8 01 11
n 4 3 100
b 8 01 11
n 4 0 300
b 8 01 11
n 4 0 100
b 8 01 11
n 4 0 200
b 8 01 11
n 4 2 100
b 8 02 11
b 8 01 11
n 4 4 100
b 4 00 11
b 8 01 11
n 3 3 100
b 8 01 11
n 3 3 100
b 4 00 11
b 8 01 11
n 3 5 100
b 8 01 11
n 1 7 100
b 8 01 32
n 3 5 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 7 100
b 4 01 11
n 2 7 100
b 16 01 11
n 3 7 100
b 8 01 11
n 2 3 100
b 16 01 11
n 3 0 100
b 8 01 11
n 2 5 100
b 8 01 11
n 2 5 100
b 16 01 11
n 2 3 100
b 8 01 11
n 3 8 100
b 16 02 11
b 4 00 11
b 16 01 11
n 3 5 100
b 16 02 11
b 16 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 8 01 11
n 4 7 100
b 8 01 11
n 4 6 100
b 2 02 11
b 4 00 11
b 8 01 11
n 4 8 100
b 8 01 11
n 4 8 100
b 8 01 11
n 1 8 100
b 4 01 11
n 1 7 100
b 8 01 11
n 2 5 100
b 4 00 11
b 8 01 11
n 2 3 100
b 16 01 11
n 2 5 100
b 8 02 11
b 16 01 11
n 3 4 100
b 16 01 11
n 3 4 100
b 16 01 11
n 3 4 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 7 100
b 16 01 11
n 4 0 100
b 8 01 11
n 4 7 100
b 16 01 11
n 3 5 100
b 16 02 11
b 16 01 11
n 4 0 100
b 8 02 11
b 16 01 11
n 8 11 114
b 16 01 11
n 2 17 100
b 8 01 11
n 1 12 100
b 4 00 11
b 8 01 11
n 4 11 100
b 8 01 11
n 4 11 100
b 4 00 11
b 8 01 11
n 4 8 100
b 8 01 11
n 4 8 100
b 16 01 11
n 4 8 100
b 16 01 11
n 2 10 100
b 16 09 11
b 16 01 11
n 2 15 100
b 16 01 11
n 1 16 100
b 16 01 11
n 1 16 100
b 16 01 11
n 1 14 100
b 16 01 11
n 3 12 100
b 16 01 11
n 1 14 100
b 16 01 11
n 1 14 200
b 16 01 11
n 1 12 100
b 16 02 11
b 16 01 11
n 1 9 100
b 16 02 11
b 16 01 11
n 1 9 100
b 16 02 11
b 16 02 11
b 16 01 11
n 1 2 100
b 16 02 11
b 16 01 11
n 1 1 110
b 16 02 11
b 16 01 11
n 1 10 100
b 16 01 11
n 1 10 100
b 8 01 11
n 1 8 100
b 8 01 11
n 1 4 100
b 8 01 11
n 2 7 100
b 8 01 11
n 2
