 8 01 11
n 4 3 100
b 8 01 11
n 4 0 300
b 4 00 11
b 16 01 11
n 4 0 100
b 16 01 11
n 2 2 100
b 16 01 11
n 2 0 100
b 16 01 11
n 3 2 100
b 16 01 11
n 3 2 100
b 16 01 11
n 3 3 100
b 16 01 11
n 3 5 200
b 4 00 11
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 02 11
b 16 01 11
n 4 7 100
b 16 02 11
b 16 01 11
n 2 9 100
b 16 02 11
b 16 01 11
n 4 7 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 1 7 100
b 16 02 11
b 8 01 11
n 1 7 110
b 16 01 11
n 1 6 100
b 16 01 11
n 3 0 110
b 16 01 11
n 3 2 100
b 16 01 11
n 3 0 200
b 16 01 11
n 4 0 100
b 16 01 11
n 3 7 100
b 8 11 11
n 4 0 100
b 16 01 11
n 4 0 100
b 16 01 11
n 3 5 100
b 16 01 11
n 3 5 100
b 8 01 11
n 3 5 100
b 8 02 11
b 4 00 11
b 8 01 11
n 2 5 100
b 16 01 11
n 3 5 100
b 16 01 11
n 2 5 110
b 16 01 11
n 2 7 100
b 16 01 11
n 4 0 300
b 16 01 11
n 4 9 100
b 8 01 11
n 4 9 100
b 16 01 11
n 4 0 300
b 16 01 11
n 2 5 100
b 16 01 11
n 3 0 300
b 16 01 11
n 2 7 300
b 16 01 11
n 4 5 100
b 16 01 11
n 4 7 100
b 16 01 11
n 4 12 100
b 16 01 11
n 2 14 100
b 16 01 11
n 2 14 200
b 16 01 11
n 3 14 100
b 16 01 11
n 2 12 100
b 16 01 11
n 3 14 100
b 4 00 11
b 16 01 11
n 4 8 110
b 16 01 11
n 4 10 100
b 16 02 11
b 16 01 11
n 4 10 100
b 8 01 11
n 4 8 100
b 8 01 11
n 3 10 100
b 8 02 11
b 16 01 11
n 3 10 100
b 16 01 11
n 3 10 100
b 16 01 11
n 3 10 100
b 16 01 11
n 1 12 100
b 4 00 11
b 16 01 11
n 3 8 100
b 16 01 11
n 3 8 100
b 16 01 11
n 2 5 100
b 16 01 11
n 2 5 100
b 16 01 11
n 3 5 110
b 16 01 11
n 3 7 100
b 16 02 11
b 16 01 11
n 1 7 100
b 16 02 11
b 8 01 11
n 1 7 110
b 16 01 11
n 1 6 100
b 8 01 11
n 3 5 100
b 8 01 11
n 3 7 100
b 4 00 11
b 8 01 11
n 3 5 100
b 8 01 11
n 3 7 100
b 4 00 11
b 8 0
